year2020,month2020,trip2020,year2021,month2021,trip2021,year2022,month2022,trip2022
12-Feb-20,2,1,28-Jul-21,7,1,,,
12-Feb-20,2,1,31-Jul-21,7,1,,,
13-Feb-20,2,1,31-Jul-21,7,1,,,
13-Feb-20,2,1,01-Aug-21,8,1,,,
14-Feb-20,2,1,03-Aug-21,8,1,,,
14-Feb-20,2,1,03-Aug-21,8,1,,,
14-Feb-20,2,2,04-Aug-21,8,1,,,
14-Feb-20,2,2,06-Aug-21,8,1,,,
14-Feb-20,2,2,07-Aug-21,8,1,,,
14-Feb-20,2,2,07-Aug-21,8,2,,,
14-Feb-20,2,2,08-Aug-21,8,1,,,
14-Feb-20,2,2,08-Aug-21,8,2,,,
14-Feb-20,2,2,10-Aug-21,8,1,,,
15-Feb-20,2,1,11-Aug-21,8,1,,,
15-Feb-20,2,1,11-Aug-21,8,1,,,
15-Feb-20,2,1,14-Aug-21,8,1,,,
15-Feb-20,2,1,15-Aug-21,8,1,,,
15-Feb-20,2,1,15-Aug-21,8,2,,,
15-Feb-20,2,1,16-Aug-21,8,1,,,
15-Feb-20,2,1,16-Aug-21,8,2,,,
15-Feb-20,2,1,16-Aug-21,8,2,,,
15-Feb-20,2,1,17-Aug-21,8,1,,,
16-Feb-20,2,1,17-Aug-21,8,1,,,
16-Feb-20,2,1,17-Aug-21,8,1,,,
16-Feb-20,2,1,17-Aug-21,8,1,,,
16-Feb-20,2,2,23-Aug-21,8,1,,,
16-Feb-20,2,2,01-Sep-21,9,1,,,
17-Feb-20,2,1,01-Sep-21,9,2,,,
17-Feb-20,2,2,01-Sep-21,9,2,,,
19-Feb-20,2,1,01-Sep-21,9,3,,,
19-Feb-20,2,1,03-Sep-21,9,1,,,
19-Feb-20,2,1,03-Sep-21,9,1,,,
19-Feb-20,2,1,03-Sep-21,9,2,,,
20-Feb-20,2,1,03-Sep-21,9,2,,,
20-Feb-20,2,1,05-Sep-21,9,1,,,
20-Feb-20,2,1,08-Sep-21,9,1,,,
20-Feb-20,2,1,11-Sep-21,9,1,,,
21-Feb-20,2,1,12-Sep-21,9,1,,,
21-Feb-20,2,1,12-Sep-21,9,1,,,
21-Feb-20,2,1,12-Sep-21,9,1,,,
21-Feb-20,2,2,15-Sep-21,9,1,,,
21-Feb-20,2,2,16-Sep-21,9,1,,,
21-Feb-20,2,2,19-Sep-21,9,1,,,
25-Feb-20,2,1,19-Sep-21,9,2,,,
25-Feb-20,2,1,21-Sep-21,9,1,,,
25-Feb-20,2,1,23-Sep-21,9,1,,,
25-Feb-20,2,1,23-Sep-21,9,1,,,
26-Feb-20,2,1,24-Sep-21,9,1,,,
26-Feb-20,2,1,24-Sep-21,9,2,,,
26-Feb-20,2,1,25-Sep-21,9,1,,,
28-Feb-20,2,1,25-Sep-21,9,1,,,
28-Feb-20,2,1,25-Sep-21,9,2,,,
01-Mar-20,3,1,25-Sep-21,9,2,,,
01-Mar-20,3,1,26-Sep-21,9,1,,,
01-Mar-20,3,1,28-Sep-21,9,1,,,
01-Mar-20,3,2,28-Sep-21,9,2,,,
01-Mar-20,3,3,28-Sep-21,9,3,,,
01-Mar-20,3,3,01-Oct-21,10,1,,,
02-Mar-20,3,1,01-Oct-21,10,2,,,
02-Mar-20,3,1,04-Oct-21,10,1,,,
04-Mar-20,3,1,04-Oct-21,10,2,,,
04-Mar-20,3,1,04-Oct-21,10,2,,,
04-Mar-20,3,1,04-Oct-21,10,2,,,
04-Mar-20,3,2,05-Oct-21,10,1,,,
04-Mar-20,3,2,05-Oct-21,10,1,,,
04-Mar-20,3,2,06-Oct-21,10,1,,,
04-Mar-20,3,2,06-Oct-21,10,1,,,
04-Mar-20,3,2,06-Oct-21,10,2,,,
04-Mar-20,3,2,06-Oct-21,10,3,,,
05-Mar-20,3,1,06-Oct-21,10,3,,,
05-Mar-20,3,1,06-Oct-21,10,3,,,
05-Mar-20,3,2,07-Oct-21,10,1,,,
05-Mar-20,3,2,08-Oct-21,10,1,,,
05-Mar-20,3,2,08-Oct-21,10,1,,,
05-Mar-20,3,2,08-Oct-21,10,2,,,
05-Mar-20,3,2,08-Oct-21,10,2,,,
05-Mar-20,3,2,08-Oct-21,10,3,,,
05-Mar-20,3,3,10-Oct-21,10,1,,,
06-Mar-20,3,1,11-Oct-21,10,1,,,
06-Mar-20,3,1,12-Oct-21,10,1,,,
06-Mar-20,3,2,12-Oct-21,10,1,,,
07-Mar-20,3,1,12-Oct-21,10,2,,,
07-Mar-20,3,1,12-Oct-21,10,2,,,
07-Mar-20,3,2,13-Oct-21,10,1,,,
07-Mar-20,3,2,13-Oct-21,10,2,,,
08-Mar-20,3,1,15-Oct-21,10,1,,,
08-Mar-20,3,2,15-Oct-21,10,2,,,
10-Mar-20,3,1,18-Oct-21,10,1,,,
10-Mar-20,3,1,18-Oct-21,10,2,,,
13-Mar-20,3,1,19-Oct-21,10,1,,,
13-Mar-20,3,1,20-Oct-21,10,1,,,
13-Mar-20,3,1,20-Oct-21,10,1,,,
13-Mar-20,3,1,20-Oct-21,10,1,,,
13-Mar-20,3,2,21-Oct-21,10,1,,,
13-Mar-20,3,2,22-Oct-21,10,1,,,
13-Mar-20,3,2,22-Oct-21,10,1,,,
13-Mar-20,3,2,22-Oct-21,10,1,,,
14-Mar-20,3,1,22-Oct-21,10,1,,,
14-Mar-20,3,1,25-Oct-21,10,1,,,
18-Mar-20,3,1,26-Oct-21,10,1,,,
18-Mar-20,3,1,28-Oct-21,10,1,,,
18-Mar-20,3,1,28-Oct-21,10,2,,,
18-Mar-20,3,1,28-Oct-21,10,2,,,
19-Mar-20,3,1,29-Oct-21,10,1,,,
08-Aug-20,8,1,29-Oct-21,10,1,,,
08-Aug-20,8,1,30-Oct-21,10,1,,,
08-Aug-20,8,1,30-Oct-21,10,2,,,
11-Aug-20,8,1,31-Oct-21,10,1,,,
11-Aug-20,8,1,31-Oct-21,10,2,,,
25-Aug-20,8,1,31-Oct-21,10,2,,,
27-Aug-20,8,1,31-Oct-21,10,2,,,
27-Aug-20,8,1,31-Oct-21,10,3,,,
31-Aug-20,8,1,02-Nov-21,11,1,,,
31-Aug-20,8,1,02-Nov-21,11,2,,,
04-Sep-20,9,1,02-Nov-21,11,2,,,
04-Sep-20,9,1,04-Nov-21,11,1,,,
04-Sep-20,9,1,04-Nov-21,11,1,,,
04-Sep-20,9,2,04-Nov-21,11,1,,,
09-Sep-20,9,1,05-Nov-21,11,1,,,
12-Sep-20,9,1,05-Nov-21,11,2,,,
12-Sep-20,9,1,06-Nov-21,11,1,,,
12-Sep-20,9,1,07-Nov-21,11,1,,,
15-Sep-20,9,1,09-Nov-21,11,1,,,
15-Sep-20,9,1,09-Nov-21,11,1,,,
15-Sep-20,9,1,09-Nov-21,11,1,,,
17-Sep-20,9,1,09-Nov-21,11,1,,,
17-Sep-20,9,1,10-Nov-21,11,1,,,
17-Sep-20,9,1,11-Nov-21,11,1,,,
22-Sep-20,9,1,11-Nov-21,11,1,,,
22-Sep-20,9,1,12-Nov-21,11,1,,,
22-Sep-20,9,1,12-Nov-21,11,1,,,
22-Sep-20,9,1,12-Nov-21,11,2,,,
22-Sep-20,9,2,12-Nov-21,11,3,,,
23-Sep-20,9,1,13-Nov-21,11,1,,,
23-Sep-20,9,1,13-Nov-21,11,2,,,
23-Sep-20,9,2,14-Nov-21,11,1,,,
23-Sep-20,9,2,16-Nov-21,11,1,,,
24-Sep-20,9,1,18-Nov-21,11,1,,,
24-Sep-20,9,1,19-Nov-21,11,1,,,
24-Sep-20,9,2,21-Nov-21,11,1,,,
24-Sep-20,9,2,23-Nov-21,11,1,,,
24-Sep-20,9,2,23-Nov-21,11,1,,,
25-Sep-20,9,1,23-Nov-21,11,2,,,
28-Sep-20,9,1,27-Nov-21,11,1,,,
28-Sep-20,9,1,28-Nov-21,11,1,,,
28-Sep-20,9,1,29-Nov-21,11,1,,,
28-Sep-20,9,1,29-Nov-21,11,1,,,
28-Sep-20,9,2,29-Nov-21,11,2,,,
28-Sep-20,9,2,30-Nov-21,11,1,,,
30-Sep-20,9,1,30-Nov-21,11,1,,,
30-Sep-20,9,1,30-Nov-21,11,1,,,
30-Sep-20,9,1,30-Nov-21,11,2,,,
04-Oct-20,10,1,01-Dec-21,12,1,,,
04-Oct-20,10,1,08-Dec-21,12,1,,,
04-Oct-20,10,1,09-Dec-21,12,1,,,
04-Oct-20,10,1,10-Dec-21,12,1,,,
04-Oct-20,10,1,10-Dec-21,12,1,,,
06-Oct-20,10,1,10-Dec-21,12,2,,,
06-Oct-20,10,1,11-Dec-21,12,1,,,
07-Oct-20,10,1,11-Nov-21,11,2,,,
12-Oct-20,10,1,12-Dec-21,12,1,,,
12-Oct-20,10,1,12-Dec-21,12,2,,,
12-Oct-20,10,1,12-Dec-21,12,2,,,
15-Oct-20,10,1,14-Dec-21,12,1,,,
18-Oct-20,10,1,15-Dec-21,12,1,,,
18-Oct-20,10,2,18-Dec-21,12,1,,,
18-Oct-20,10,2,19-Dec-21,12,1,,,
19-Oct-20,10,1,19-Dec-21,12,2,,,
19-Oct-20,10,1,19-Dec-21,12,3,,,
19-Oct-20,10,1,19-Dec-21,12,3,,,
27-Oct-20,10,1,20-Dec-21,12,1,,,
28-Oct-20,10,1,21-Dec-21,12,1,,,
28-Oct-20,10,1,22-Dec-21,12,1,,,
07-Nov-20,11,1,22-Dec-21,12,2,,,
07-Nov-20,11,1,24-Dec-21,12,1,,,
