date,NewIDs,OldIDs,CumNew,CumAll
2002/05/01,7,0,7,7
2002/06/01,9,0,16,16
2002/07/01,24,5,40,45
2002/08/01,4,7,44,56
2002/09/01,6,3,50,65
2002/10/01,1,5,51,71
2002/11/01,3,10,54,84
2002/12/01,8,19,62,111
2003/01/01,2,4,64,117
2003/02/01,0,0,64,117
2003/03/01,2,17,66,136
2003/04/01,1,1,67,138
2003/05/01,1,8,68,147
2003/06/01,0,0,68,147
2003/07/01,0,0,68,147
2003/08/01,1,2,69,150
2003/09/01,0,0,69,150
2003/10/01,0,0,69,150
2003/11/01,2,3,71,155
2003/12/01,0,4,71,159
